"Date","Price","Open","High","Low","Change %"
"May 24, 2018","0.471","0.516","0.533","0.461","-7.10%"
"May 23, 2018","0.507","0.558","0.558","0.496","-9.14%"
"May 22, 2018","0.558","0.522","0.573","0.522","6.90%"
"May 21, 2018","0.522","0.581","0.581","0.518","-8.42%"
"May 20, 2018","0.570","0.570","0.570","0.570","-1.04%"
"May 18, 2018","0.576","0.637","0.639","0.573","-9.58%"
"May 17, 2018","0.637","0.636","0.647","0.598","5.12%"
"May 16, 2018","0.606","0.635","0.639","0.589","-6.34%"
"May 15, 2018","0.647","0.617","0.650","0.613","5.72%"
"May 14, 2018","0.612","0.557","0.619","0.551","9.48%"
"May 11, 2018","0.559","0.556","0.569","0.541","0.18%"
"May 10, 2018","0.558","0.557","0.565","0.533","-0.36%"
"May 09, 2018","0.560","0.567","0.586","0.558","-0.18%"
"May 08, 2018","0.561","0.532","0.565","0.528","5.85%"
"May 07, 2018","0.530","0.544","0.544","0.518","-2.75%"
"May 04, 2018","0.545","0.538","0.547","0.522","2.06%"
"May 03, 2018","0.534","0.578","0.592","0.525","-8.25%"
"May 02, 2018","0.582","0.571","0.590","0.568","3.56%"
"Apr 30, 2018","0.562","0.578","0.593","0.557","-1.40%"
"Apr 27, 2018","0.570","0.592","0.592","0.564","-4.20%"
"Apr 26, 2018","0.595","0.633","0.636","0.585","-6.00%"
"Apr 25, 2018","0.633","0.628","0.655","0.625","0.64%"
"Apr 24, 2018","0.629","0.626","0.655","0.610","-0.94%"
"Apr 23, 2018","0.635","0.613","0.639","0.610","7.63%"
"Apr 20, 2018","0.590","0.588","0.613","0.580","-1.34%"
"Apr 19, 2018","0.598","0.538","0.604","0.538","12.41%"
"Apr 18, 2018","0.532","0.513","0.535","0.496","4.93%"
"Apr 17, 2018","0.507","0.527","0.539","0.506","-3.24%"
"Apr 16, 2018","0.524","0.516","0.551","0.515","2.34%"
"Apr 14, 2018","0.512","0.511","0.512","0.511","0.20%"
"Apr 13, 2018","0.511","0.512","0.537","0.506","-0.78%"
"Apr 12, 2018","0.515","0.502","0.518","0.493","2.79%"
"Apr 11, 2018","0.501","0.515","0.516","0.483","-2.91%"
"Apr 10, 2018","0.516","0.507","0.529","0.488","2.18%"
"Apr 09, 2018","0.505","0.500","0.512","0.494","1.00%"
"Apr 06, 2018","0.500","0.516","0.520","0.492","-4.94%"
"Apr 05, 2018","0.526","0.510","0.538","0.508","4.78%"
"Apr 04, 2018","0.502","0.509","0.511","0.479","0.00%"
"Apr 03, 2018","0.502","0.480","0.521","0.479","1.62%"
"Mar 30, 2018","0.494","0.497","0.497","0.494","0.20%"
"Mar 29, 2018","0.493","0.505","0.513","0.490","-1.99%"
"Mar 28, 2018","0.503","0.496","0.506","0.473","0.20%"
"Mar 27, 2018","0.502","0.532","0.539","0.500","-3.83%"
"Mar 26, 2018","0.522","0.531","0.548","0.520","-1.14%"
"Mar 24, 2018","0.528","0.525","0.528","0.525","0.57%"
"Mar 23, 2018","0.525","0.525","0.550","0.517","-0.76%"
"Mar 22, 2018","0.529","0.579","0.582","0.516","-10.64%"
"Mar 21, 2018","0.592","0.587","0.604","0.580","1.37%"
"Mar 20, 2018","0.584","0.577","0.592","0.574","2.64%"
"Mar 19, 2018","0.569","0.571","0.607","0.563","-0.35%"
"Mar 16, 2018","0.571","0.567","0.585","0.559","-0.52%"
"Mar 15, 2018","0.574","0.594","0.597","0.566","-3.04%"
"Mar 14, 2018","0.592","0.610","0.630","0.583","-4.52%"
"Mar 13, 2018","0.620","0.629","0.640","0.608","-2.36%"
"Mar 12, 2018","0.635","0.655","0.657","0.623","-1.40%"
"Mar 09, 2018","0.644","0.637","0.660","0.631","2.22%"
"Mar 08, 2018","0.630","0.667","0.703","0.626","-3.67%"
"Mar 07, 2018","0.654","0.661","0.676","0.647","-3.25%"
"Mar 06, 2018","0.676","0.662","0.702","0.640","4.64%"
"Mar 05, 2018","0.646","0.618","0.646","0.596","-0.15%"
"Mar 02, 2018","0.647","0.630","0.653","0.606","0.78%"
"Mar 01, 2018","0.642","0.655","0.658","0.621","-1.83%"
"Feb 28, 2018","0.654","0.677","0.689","0.654","-3.40%"
"Feb 27, 2018","0.677","0.663","0.685","0.653","3.68%"
"Feb 26, 2018","0.653","0.644","0.671","0.639","-0.15%"
"Feb 23, 2018","0.654","0.707","0.707","0.651","-7.63%"
"Feb 22, 2018","0.708","0.749","0.750","0.698","-2.07%"
"Feb 21, 2018","0.723","0.729","0.729","0.697","-1.90%"
"Feb 20, 2018","0.737","0.747","0.764","0.716","0.41%"
"Feb 19, 2018","0.734","0.721","0.743","0.716","3.82%"
"Feb 18, 2018","0.707","0.707","0.707","0.707","0.00%"
"Feb 16, 2018","0.707","0.774","0.779","0.699","-7.58%"
"Feb 15, 2018","0.765","0.772","0.796","0.751","0.66%"
"Feb 14, 2018","0.760","0.738","0.774","0.724","1.33%"
